MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
04.01.2020 03:30 - 04.01.2020 03:45,4.27,EUR,
04.01.2020 03:45 - 04.01.2020 04:00,2.94,EUR,
04.01.2020 04:00 - 04.01.2020 04:15,1.4,EUR,
04.01.2020 04:15 - 04.01.2020 04:30,1.93,EUR,
04.01.2020 04:30 - 04.01.2020 04:45,1.69,EUR,
04.01.2020 04:45 - 04.01.2020 05:00,-0.01,EUR,
04.01.2020 05:00 - 04.01.2020 05:15,-2.29,EUR,
04.01.2020 05:15 - 04.01.2020 05:30,-2.87,EUR,
04.01.2020 05:30 - 04.01.2020 05:45,3.66,EUR,
04.01.2020 05:45 - 04.01.2020 06:00,8.31,EUR,
04.01.2020 06:00 - 04.01.2020 06:15,-7.84,EUR,
04.01.2020 06:15 - 04.01.2020 06:30,-3.5,EUR,
04.01.2020 06:30 - 04.01.2020 06:45,1.68,EUR,
04.01.2020 06:45 - 04.01.2020 07:00,3.65,EUR,
04.01.2020 07:00 - 04.01.2020 07:15,-4.1,EUR,
04.01.2020 07:15 - 04.01.2020 07:30,-0.27,EUR,
04.01.2020 07:30 - 04.01.2020 07:45,8.42,EUR,
04.01.2020 07:45 - 04.01.2020 08:00,11.33,EUR,
04.01.2020 08:00 - 04.01.2020 08:15,9.56,EUR,
04.01.2020 08:15 - 04.01.2020 08:30,15.51,EUR,
04.01.2020 08:30 - 04.01.2020 08:45,19.09,EUR,
04.01.2020 08:45 - 04.01.2020 09:00,17.74,EUR,
04.01.2020 09:00 - 04.01.2020 09:15,19.9,EUR,
04.01.2020 09:15 - 04.01.2020 09:30,20,EUR,
04.01.2020 09:30 - 04.01.2020 09:45,21,EUR,
04.01.2020 09:45 - 04.01.2020 10:00,19.11,EUR,
04.01.2020 10:00 - 04.01.2020 10:15,19.8,EUR,
04.01.2020 10:15 - 04.01.2020 10:30,19.73,EUR,
04.01.2020 10:30 - 04.01.2020 10:45,17.67,EUR,
04.01.2020 10:45 - 04.01.2020 11:00,16.7,EUR,
04.01.2020 11:00 - 04.01.2020 11:15,18.35,EUR,
04.01.2020 11:15 - 04.01.2020 11:30,21.34,EUR,
04.01.2020 11:30 - 04.01.2020 11:45,18.71,EUR,
04.01.2020 11:45 - 04.01.2020 12:00,21.6,EUR,
04.01.2020 12:00 - 04.01.2020 12:15,26.69,EUR,
04.01.2020 12:15 - 04.01.2020 12:30,15.37,EUR,
04.01.2020 12:30 - 04.01.2020 12:45,15.28,EUR,
04.01.2020 12:45 - 04.01.2020 13:00,10.62,EUR,
04.01.2020 13:00 - 04.01.2020 13:15,13.94,EUR,
04.01.2020 13:15 - 04.01.2020 13:30,13.94,EUR,
04.01.2020 13:30 - 04.01.2020 13:45,19,EUR,
04.01.2020 13:45 - 04.01.2020 14:00,19.11,EUR,
04.01.2020 14:00 - 04.01.2020 14:15,13.7,EUR,
04.01.2020 14:15 - 04.01.2020 14:30,13.4,EUR,
04.01.2020 14:30 - 04.01.2020 14:45,23.92,EUR,
04.01.2020 14:45 - 04.01.2020 15:00,23.06,EUR,
04.01.2020 15:00 - 04.01.2020 15:15,8.66,EUR,
04.01.2020 15:15 - 04.01.2020 15:30,17.46,EUR,
04.01.2020 15:30 - 04.01.2020 15:45,22.17,EUR,
04.01.2020 15:45 - 04.01.2020 16:00,27.27,EUR,
04.01.2020 16:00 - 04.01.2020 16:15,12.25,EUR,
04.01.2020 16:15 - 04.01.2020 16:30,22.02,EUR,
04.01.2020 16:30 - 04.01.2020 16:45,30.39,EUR,
04.01.2020 16:45 - 04.01.2020 17:00,37.35,EUR,
04.01.2020 17:00 - 04.01.2020 17:15,23.71,EUR,
04.01.2020 17:15 - 04.01.2020 17:30,29.01,EUR,
04.01.2020 17:30 - 04.01.2020 17:45,35.35,EUR,
04.01.2020 17:45 - 04.01.2020 18:00,39.19,EUR,
04.01.2020 18:00 - 04.01.2020 18:15,31.23,EUR,
04.01.2020 18:15 - 04.01.2020 18:30,32.06,EUR,
04.01.2020 18:30 - 04.01.2020 18:45,35.68,EUR,
04.01.2020 18:45 - 04.01.2020 19:00,35.78,EUR,
04.01.2020 19:00 - 04.01.2020 19:15,36.2,EUR,
04.01.2020 19:15 - 04.01.2020 19:30,34.17,EUR,
04.01.2020 19:30 - 04.01.2020 19:45,33.43,EUR,
04.01.2020 19:45 - 04.01.2020 20:00,32.71,EUR,
04.01.2020 20:00 - 04.01.2020 20:15,40.02,EUR,
04.01.2020 20:15 - 04.01.2020 20:30,36.91,EUR,
04.01.2020 20:30 - 04.01.2020 20:45,29.27,EUR,
04.01.2020 20:45 - 04.01.2020 21:00,25.48,EUR,
04.01.2020 21:00 - 04.01.2020 21:15,33.06,EUR,
04.01.2020 21:15 - 04.01.2020 21:30,33.77,EUR,
04.01.2020 21:30 - 04.01.2020 21:45,30.06,EUR,
04.01.2020 21:45 - 04.01.2020 22:00,29.08,EUR,
04.01.2020 22:00 - 04.01.2020 22:15,41.31,EUR,
04.01.2020 22:15 - 04.01.2020 22:30,34.62,EUR,
04.01.2020 22:30 - 04.01.2020 22:45,30.17,EUR,
04.01.2020 22:45 - 04.01.2020 23:00,23.87,EUR,
04.01.2020 23:00 - 04.01.2020 23:15,41.65,EUR,
04.01.2020 23:15 - 04.01.2020 23:30,37.67,EUR,
04.01.2020 23:30 - 04.01.2020 23:45,30.85,EUR,
04.01.2020 23:45 - 05.01.2020 00:00,14.81,EUR,
05.01.2020 00:00 - 05.01.2020 00:15,36.05,EUR,
05.01.2020 00:15 - 05.01.2020 00:30,31.59,EUR,
05.01.2020 00:30 - 05.01.2020 00:45,30.36,EUR,
05.01.2020 00:45 - 05.01.2020 01:00,17.53,EUR,
05.01.2020 01:00 - 05.01.2020 01:15,32.93,EUR,
05.01.2020 01:15 - 05.01.2020 01:30,30.32,EUR,
05.01.2020 01:30 - 05.01.2020 01:45,26.95,EUR,
05.01.2020 01:45 - 05.01.2020 02:00,19.79,EUR,
05.01.2020 02:00 - 05.01.2020 02:15,27.2,EUR,
05.01.2020 02:15 - 05.01.2020 02:30,28,EUR,
05.01.2020 02:30 - 05.01.2020 02:45,26.32,EUR,
05.01.2020 02:45 - 05.01.2020 03:00,26.01,EUR,
05.01.2020 03:00 - 05.01.2020 03:15,27.65,EUR,
05.01.2020 03:15 - 05.01.2020 03:30,26.22,EUR,
05.01.2020 03:30 - 05.01.2020 03:45,27.43,EUR,
05.01.2020 03:45 - 05.01.2020 04:00,26.67,EUR,
05.01.2020 04:00 - 05.01.2020 04:15,22.57,EUR,
05.01.2020 04:15 - 05.01.2020 04:30,23.96,EUR,
05.01.2020 04:30 - 05.01.2020 04:45,28.34,EUR,
05.01.2020 04:45 - 05.01.2020 05:00,27.96,EUR,
05.01.2020 05:00 - 05.01.2020 05:15,28.06,EUR,
05.01.2020 05:15 - 05.01.2020 05:30,18.91,EUR,
05.01.2020 05:30 - 05.01.2020 05:45,24.74,EUR,
05.01.2020 05:45 - 05.01.2020 06:00,30.33,EUR,
05.01.2020 06:00 - 05.01.2020 06:15,23.12,EUR,
05.01.2020 06:15 - 05.01.2020 06:30,25.97,EUR,
05.01.2020 06:30 - 05.01.2020 06:45,28,EUR,
05.01.2020 06:45 - 05.01.2020 07:00,29.92,EUR,
05.01.2020 07:00 - 05.01.2020 07:15,21.32,EUR,
05.01.2020 07:15 - 05.01.2020 07:30,25.57,EUR,
05.01.2020 07:30 - 05.01.2020 07:45,32.28,EUR,
05.01.2020 07:45 - 05.01.2020 08:00,36.67,EUR,
