"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"02.01.2018 12:30 - 02.01.2018 12:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15666","n/e"
"02.01.2018 12:45 - 02.01.2018 13:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15753","n/e"
"02.01.2018 13:00 - 02.01.2018 13:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15757","n/e"
"02.01.2018 13:15 - 02.01.2018 13:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15436","n/e"
"02.01.2018 13:30 - 02.01.2018 13:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15131","n/e"
"02.01.2018 13:45 - 02.01.2018 14:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14939","n/e"
"02.01.2018 14:00 - 02.01.2018 14:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14713","n/e"
"02.01.2018 14:15 - 02.01.2018 14:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14354","n/e"
"02.01.2018 14:30 - 02.01.2018 14:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14103","n/e"
"02.01.2018 14:45 - 02.01.2018 15:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13896","n/e"
"02.01.2018 15:00 - 02.01.2018 15:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13616","n/e"
"02.01.2018 15:15 - 02.01.2018 15:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13447","n/e"
"02.01.2018 15:30 - 02.01.2018 15:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13195","n/e"
"02.01.2018 15:45 - 02.01.2018 16:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","12990","n/e"
"02.01.2018 16:00 - 02.01.2018 16:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","12856","n/e"
"02.01.2018 16:15 - 02.01.2018 16:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13012","n/e"
"02.01.2018 16:30 - 02.01.2018 16:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13263","n/e"
"02.01.2018 16:45 - 02.01.2018 17:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13484","n/e"
"02.01.2018 17:00 - 02.01.2018 17:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13537","n/e"
"02.01.2018 17:15 - 02.01.2018 17:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13665","n/e"
"02.01.2018 17:30 - 02.01.2018 17:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","13867","n/e"
"02.01.2018 17:45 - 02.01.2018 18:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14125","n/e"
"02.01.2018 18:00 - 02.01.2018 18:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14352","n/e"
"02.01.2018 18:15 - 02.01.2018 18:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14724","n/e"
"02.01.2018 18:30 - 02.01.2018 18:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15099","n/e"
"02.01.2018 18:45 - 02.01.2018 19:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15468","n/e"
"02.01.2018 19:00 - 02.01.2018 19:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15948","n/e"
"02.01.2018 19:15 - 02.01.2018 19:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","16420","n/e"
"02.01.2018 19:30 - 02.01.2018 19:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","16723","n/e"
"02.01.2018 19:45 - 02.01.2018 20:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","16981","n/e"
"02.01.2018 20:00 - 02.01.2018 20:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","17133","n/e"
"02.01.2018 20:15 - 02.01.2018 20:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","17230","n/e"
"02.01.2018 20:30 - 02.01.2018 20:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","17461","n/e"
"02.01.2018 20:45 - 02.01.2018 21:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","17765","n/e"
"02.01.2018 21:00 - 02.01.2018 21:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","18000","n/e"
"02.01.2018 21:15 - 02.01.2018 21:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","18328","n/e"
"02.01.2018 21:30 - 02.01.2018 21:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","18667","n/e"
"02.01.2018 21:45 - 02.01.2018 22:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","19006","n/e"
"02.01.2018 22:00 - 02.01.2018 22:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","19351","n/e"
"02.01.2018 22:15 - 02.01.2018 22:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","19767","n/e"
"02.01.2018 22:30 - 02.01.2018 22:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","20185","n/e"
"02.01.2018 22:45 - 02.01.2018 23:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","20601","n/e"
"02.01.2018 23:00 - 02.01.2018 23:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","21055","n/e"
"02.01.2018 23:15 - 02.01.2018 23:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","21587","n/e"
